ligne;course;dow;first_time;med_time;nb_courses;first_date;last_date;created_at
45;3948301;1;"06:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948301;2;"06:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948301;3;"06:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948301;4;"06:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948301;5;"06:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948302;1;"06:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948302;2;"06:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948302;3;"06:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948302;4;"06:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948302;5;"06:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948303;1;"06:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948303;2;"06:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948303;3;"06:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948303;4;"06:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948303;5;"06:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948304;1;"06:40:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948304;2;"06:40:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948304;3;"06:40:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948304;4;"06:40:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948304;5;"06:40:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948305;1;"06:50:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948305;2;"06:50:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948305;3;"06:50:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948305;4;"06:50:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948305;5;"06:50:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948306;1;"07:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948306;2;"07:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948306;3;"07:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948306;4;"07:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948306;5;"07:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948307;1;"07:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948307;2;"07:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948307;3;"07:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948307;4;"07:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948307;5;"07:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948308;1;"07:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948308;2;"07:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948308;3;"07:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948308;4;"07:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948308;5;"07:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
